"Day ","Items ","Note ","Amount "
"38","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1680"
"38","Rental Expense","Cash Payment - Rental - Miami","3000"
"38","Rental Expense","Cash Payment - Rental - Detroit","1000"
"38","Rental Expense","Cash Payment - Rental - Chicago","1480"
"38","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"38","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"37","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"37","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"37","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"37","Salary Expense","Cash Payment - Salary Expense","30852"
"37","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5972","134"
"37","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"37","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","352"
"37","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"37","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","710"
"37","Rental Expense","Cash Payment - Rental - New York","4020"
"37","Rental Expense","Cash Payment - Rental - Miami","3000"
"37","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","196"
"37","Rental Expense","Cash Payment - Rental - Detroit","1000"
"37","Rental Expense","Cash Payment - Rental - Chicago","1480"
"37","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"37","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"36","Human Resource Expense","Attended Training","15000"
"36","Human Resource Expense","Counselled","2000"
"36","Human Resource Expense","Counselled","2000"
"36","Salary Expense","Cash Payment - Salary Expense","28752"
"36","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"36","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1152"
"36","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"36","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","2769"
"36","Rental Expense","Cash Payment - Rental - New York","4020"
"36","Rental Expense","Cash Payment - Rental - Miami","3000"
"36","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","644"
"36","Rental Expense","Cash Payment - Rental - Detroit","1000"
"36","Rental Expense","Cash Payment - Rental - Chicago","1480"
"36","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"36","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"35","Salary Expense","Cash Payment - Salary Expense","28733"
"35","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5588","63"
"35","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5590","20"
"35","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5596","16"
"35","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"35","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"35","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1216"
"35","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"35","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","3053"
"35","Rental Expense","Cash Payment - Rental - New York","4020"
"35","Rental Expense","Cash Payment - Rental - Miami","3000"
"35","Rental Expense","Cash Payment - Rental - Detroit","1000"
"35","Rental Expense","Cash Payment - Rental - Chicago","1480"
"35","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"35","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"34","Salary Expense","Cash Payment - Salary Expense","28695"
"34","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"34","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1344"
"34","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"34","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","3337"
"34","Rental Expense","Cash Payment - Rental - New York","4020"
"34","Rental Expense","Cash Payment - Rental - Miami","3000"
"34","Rental Expense","Cash Payment - Rental - Detroit","1000"
"34","Rental Expense","Cash Payment - Rental - Chicago","1480"
"34","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"34","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"33","Human Resource Expense","Counselled","2000"
"33","Human Resource Expense","Attended Training","15000"
"33","Salary Expense","Cash Payment - Salary Expense","28676"
"33","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4893","391"
"33","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4903","144"
"33","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"33","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"33","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","3692"
"33","Rental Expense","Cash Payment - Rental - New York","4020"
"33","Rental Expense","Cash Payment - Rental - Miami","3000"
"33","Rental Expense","Cash Payment - Rental - Detroit","1000"
"33","Rental Expense","Cash Payment - Rental - Chicago","1480"
"33","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"33","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"32","Salary Expense","Cash Payment - Salary Expense","28640"
"32","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 5081","311"
"32","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"32","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"32","Rental Expense","Cash Payment - Rental - New York","4020"
"32","Rental Expense","Cash Payment - Rental - Miami","3000"
"32","Rental Expense","Cash Payment - Rental - Detroit","1000"
"32","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","123"
"32","Rental Expense","Cash Payment - Rental - Chicago","1480"
"32","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"32","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"31","Human Resource Expense","Attended Training","15000"
"31","Salary Expense","Cash Payment - Salary Expense","28224"
"31","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"31","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"31","Rental Expense","Cash Payment - Rental - New York","4020"
"31","Rental Expense","Cash Payment - Rental - Miami","1800"
"31","Rental Expense","Cash Payment - Rental - Detroit","1000"
"31","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","205"
"31","Rental Expense","Cash Payment - Rental - Chicago","1480"
"31","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"31","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"30","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"30","Salary Expense","Cash Payment - Salary Expense","27540"
"30","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"30","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"30","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"30","Rental Expense","Cash Payment - Rental - New York","4020"
"30","Rental Expense","Cash Payment - Rental - Miami","1800"
"30","Rental Expense","Cash Payment - Rental - Detroit","1000"
"30","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","287"
"30","Rental Expense","Cash Payment - Rental - Chicago","1480"
"30","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"30","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"29","Human Resource Expense","Attended Training","15000"
"29","Human Resource Expense","Attended Training","15000"
"29","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"29","Salary Expense","Cash Payment - Salary Expense","27468"
"29","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4343","51"
"29","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4370","20"
"29","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4550","184"
"29","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"29","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"29","Rental Expense","Cash Payment - Rental - New York","4020"
"29","Rental Expense","Cash Payment - Rental - Miami","1800"
"29","Rental Expense","Cash Payment - Rental - Detroit","1000"
"29","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","451"
"29","Rental Expense","Cash Payment - Rental - Chicago","1480"
"29","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"29","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"28","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"28","Salary Expense","Cash Payment - Salary Expense","27396"
"28","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4357","93"
"28","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4363","223"
"28","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4367","286"
"28","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"28","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"28","Rental Expense","Cash Payment - Rental - New York","4020"
"28","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","237"
"28","Rental Expense","Cash Payment - Rental - Miami","1800"
"28","Rental Expense","Cash Payment - Rental - Detroit","1000"
"28","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","738"
"28","Rental Expense","Cash Payment - Rental - Chicago","1480"
"28","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"28","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"27","Human Resource Expense","Counselled","2000"
"27","Human Resource Expense","Attended Training","15000"
"27","Human Resource Expense","Counselled","2000"
"27","Human Resource Expense","Counselled","2000"
"27","Salary Expense","Cash Payment - Salary Expense","27396"
"27","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4178","10"
"27","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4182","148"
"27","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"27","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"27","Rental Expense","Cash Payment - Rental - New York","4020"
"27","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","240"
"27","Rental Expense","Cash Payment - Rental - Miami","1800"
"27","Rental Expense","Cash Payment - Rental - Detroit","1000"
"27","Rental Expense","Cash Payment - Rental - Chicago","1480"
"27","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"27","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"26","Salary Expense","Cash Payment - Salary Expense","27396"
"26","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 4014","121"
"26","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"26","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"26","Rental Expense","Cash Payment - Rental - New York","4020"
"26","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1587"
"26","Rental Expense","Cash Payment - Rental - Miami","1800"
"26","Rental Expense","Cash Payment - Rental - Detroit","1000"
"26","Rental Expense","Cash Payment - Rental - Chicago","1480"
"26","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"26","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"25","Salary Expense","Cash Payment - Salary Expense","27378"
"25","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"25","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"25","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"25","Rental Expense","Cash Payment - Rental - New York","4020"
"25","Rental Expense","Cash Payment - Rental - Miami","1800"
"25","Rental Expense","Cash Payment - Rental - Detroit","1000"
"25","Rental Expense","Cash Payment - Rental - Chicago","1480"
"25","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"25","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"24","Human Resource Expense","Attended Training","15000"
"24","Salary Expense","Cash Payment - Salary Expense","27342"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3644","162"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3654","68"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3661","24"
"24","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 3670","12"
"24","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"24","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"24","Rental Expense","Cash Payment - Rental - New York","4020"
"24","Rental Expense","Cash Payment - Rental - Miami","1800"
"24","Rental Expense","Cash Payment - Rental - Detroit","1000"
"24","Rental Expense","Cash Payment - Rental - Chicago","1480"
"24","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"24","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"23","Human Resource Expense","Counselled","2000"
"23","Human Resource Expense","Attended Training","15000"
"23","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"23","Human Resource Expense","Counselled","2000"
"23","Salary Expense","Cash Payment - Salary Expense","27324"
"23","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2896","197"
"23","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2910","198"
"23","Depreciation Expense","Non-Cash Expense - Depreciation","8333"
"23","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"23","Rental Expense","Cash Payment - Rental - New York","4020"
"23","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","936"
"23","Rental Expense","Cash Payment - Rental - Miami","1800"
"23","Rental Expense","Cash Payment - Rental - Detroit","1000"
"23","Rental Expense","Cash Payment - Rental - Chicago","1480"
"23","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"23","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"22","Salary Expense","Cash Payment - Salary Expense","26624"
"22","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"22","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"22","Rental Expense","Cash Payment - Rental - New York","4020"
"22","Rental Expense","Cash Payment - Rental - Miami","1800"
"22","Rental Expense","Cash Payment - Rental - Detroit","1000"
"22","Rental Expense","Cash Payment - Rental - Chicago","1480"
"22","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"22","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"21","Salary Expense","Cash Payment - Salary Expense","26228"
"21","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2409","19"
"21","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2916","156"
"21","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2918","114"
"21","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"21","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"21","Rental Expense","Cash Payment - Rental - New York","4020"
"21","Rental Expense","Cash Payment - Rental - Miami","1800"
"21","Rental Expense","Cash Payment - Rental - Detroit","1000"
"21","Rental Expense","Cash Payment - Rental - Chicago","1480"
"21","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"21","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"20","Human Resource Expense","Cash Payment - Staff Recruiting - San Francisco","60000"
"20","Human Resource Expense","Counselled","2000"
"20","Human Resource Expense","Counselled","2000"
"20","Human Resource Expense","Counselled","2000"
"20","Human Resource Expense","Counselled","2000"
"20","Human Resource Expense","Counselled","2000"
"20","Salary Expense","Cash Payment - Salary Expense","25580"
"20","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"20","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","32"
"20","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"20","Rental Expense","Cash Payment - Rental - New York","4020"
"20","Rental Expense","Cash Payment - Rental - Miami","1800"
"20","Rental Expense","Cash Payment - Rental - Detroit","1000"
"20","Rental Expense","Cash Payment - Rental - Chicago","1480"
"20","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"20","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"19","Human Resource Expense","Attended Training","15000"
"19","Human Resource Expense","Cash Payment - Staff Recruiting - Washington, D.C.","60000"
"19","Human Resource Expense","Attended Training","15000"
"19","Salary Expense","Cash Payment - Salary Expense","24180"
"19","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"19","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","160"
"19","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"19","Rental Expense","Cash Payment - Rental - New York","4020"
"19","Rental Expense","Cash Payment - Rental - Miami","1800"
"19","Rental Expense","Cash Payment - Rental - Detroit","1000"
"19","Rental Expense","Cash Payment - Rental - Chicago","1480"
"19","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"18","Salary Expense","Cash Payment - Salary Expense","22780"
"18","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2403","207"
"18","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2407","112"
"18","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2417","160"
"18","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2422","93"
"18","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2431","116"
"18","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"18","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","192"
"18","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"18","Rental Expense","Cash Payment - Rental - New York","4020"
"18","Rental Expense","Cash Payment - Rental - Miami","1800"
"18","Rental Expense","Cash Payment - Rental - Detroit","1000"
"18","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","205"
"18","Rental Expense","Cash Payment - Rental - Chicago","1480"
"17","Human Resource Expense","Counselled","2000"
"17","Human Resource Expense","Counselled","2000"
"17","Human Resource Expense","Counselled","2000"
"17","Human Resource Expense","Attended Training","15000"
"17","Salary Expense","Cash Payment - Salary Expense","22780"
"17","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2388","72"
"17","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2392","127"
"17","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2399","110"
"17","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"17","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","320"
"17","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"17","Rental Expense","Cash Payment - Rental - New York","4020"
"17","Rental Expense","Cash Payment - Rental - Miami","1800"
"17","Rental Expense","Cash Payment - Rental - Detroit","1000"
"17","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","492"
"17","Rental Expense","Cash Payment - Rental - Chicago","1480"
"16","Human Resource Expense","Attended Training","15000"
"16","Human Resource Expense","Attended Training","15000"
"16","Human Resource Expense","Counselled","2000"
"16","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"16","Salary Expense","Cash Payment - Salary Expense","22780"
"16","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 2206","19"
"16","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"16","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"16","Rental Expense","Cash Payment - Rental - New York","4020"
"16","Rental Expense","Cash Payment - Rental - Miami","1800"
"16","Rental Expense","Cash Payment - Rental - Detroit","1000"
"16","Rental Expense","Cash Payment - Rental - Chicago","1480"
"15","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"15","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"15","Salary Expense","Cash Payment - Salary Expense","22762"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1887","131"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1891","18"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1894","215"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1899","216"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1907","273"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1909","137"
"15","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1914","373"
"15","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"15","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"15","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","284"
"15","Rental Expense","Cash Payment - Rental - New York","4020"
"15","Rental Expense","Cash Payment - Rental - Miami","1800"
"15","Rental Expense","Cash Payment - Rental - Detroit","1000"
"15","Rental Expense","Cash Payment - Rental - Chicago","1480"
"14","Human Resource Expense","Counselled","2000"
"14","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"14","Salary Expense","Cash Payment - Salary Expense","22376"
"14","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1922","317"
"14","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"14","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"14","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","497"
"14","Rental Expense","Cash Payment - Rental - New York","4020"
"14","Rental Expense","Cash Payment - Rental - Miami","1800"
"14","Rental Expense","Cash Payment - Rental - Detroit","1000"
"14","Rental Expense","Cash Payment - Rental - Chicago","1480"
"13","Salary Expense","Cash Payment - Salary Expense","22358"
"13","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 1738","7"
"13","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"13","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"13","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","2130"
"13","Rental Expense","Cash Payment - Rental - New York","4020"
"13","Rental Expense","Cash Payment - Rental - Miami","1800"
"13","Rental Expense","Cash Payment - Rental - Detroit","1000"
"13","Rental Expense","Cash Payment - Rental - Chicago","1480"
"12","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"12","Human Resource Expense","Cash Payment - Staff Recruiting - Production","15000"
"12","Human Resource Expense","Counselled","2000"
"12","Human Resource Expense","Counselled","2000"
"12","Salary Expense","Cash Payment - Salary Expense","22358"
"12","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"12","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"12","Rental Expense","Cash Payment - Rental - New York","4020"
"12","Rental Expense","Cash Payment - Rental - Miami","1800"
"12","Rental Expense","Cash Payment - Rental - Detroit","1000"
"12","Rental Expense","Cash Payment - Rental - Chicago","1480"
"11","Human Resource Expense","Counselled","2000"
"11","Salary Expense","Cash Payment - Salary Expense","21298"
"11","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"11","Rental Expense","Cash Payment - Rental - New York","4020"
"11","Rental Expense","Cash Payment - Rental - Miami","1800"
"11","Rental Expense","Cash Payment - Rental - Detroit","1000"
"11","Rental Expense","Cash Payment - Rental - Chicago","1480"
"10","Salary Expense","Cash Payment - Salary Expense","20650"
"10","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 211","115"
"10","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 348","82"
"10","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 354","125"
"10","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 358","162"
"10","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","928"
"10","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"10","Rental Expense","Cash Payment - Rental - New York","4020"
"10","Rental Expense","Cash Payment - Rental - Miami","1800"
"10","Rental Expense","Cash Payment - Rental - Detroit","1000"
"10","Rental Expense","Cash Payment - Rental - Chicago","1480"
"9","Human Resource Expense","Attended Training","15000"
"9","Salary Expense","Cash Payment - Salary Expense","20650"
"9","Interest Expense ","Cash Payment - Interest - For Overdraft","3853"
"9","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1824"
"9","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"9","Rental Expense","Cash Payment - Rental - New York","4020"
"9","Rental Expense","Cash Payment - Rental - Miami","1800"
"9","Rental Expense","Cash Payment - Rental - Detroit","1000"
"9","Rental Expense","Cash Payment - Rental - Chicago","1480"
"8","Salary Expense","Cash Payment - Salary Expense","20650"
"8","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 360","79"
"8","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 368","149"
"8","Interest Expense ","Cash Payment - Interest - For Overdraft","3853"
"8","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","2016"
"8","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"8","Rental Expense","Cash Payment - Rental - New York","4020"
"8","Rental Expense","Cash Payment - Rental - Miami","1800"
"8","Rental Expense","Cash Payment - Rental - Detroit","1000"
"8","Rental Expense","Cash Payment - Rental - Chicago","1480"
"7","Human Resource Expense","Counselled","2000"
"7","Salary Expense","Cash Payment - Salary Expense","20650"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 226","176"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 240","126"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 246","95"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 250","10"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 256","15"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 260","20"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 266","20"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 275","14"
"7","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 280","13"
"7","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"7","Rental Expense","Cash Payment - Rental - New York","4020"
"7","Rental Expense","Cash Payment - Rental - Miami","1800"
"7","Rental Expense","Cash Payment - Rental - Detroit","1000"
"7","Rental Expense","Cash Payment - Rental - Chicago","1480"
"6","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"6","Salary Expense","Cash Payment - Salary Expense","20650"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 76","114"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 91","89"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 94","131"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 100","61"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 108","155"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 114","119"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 121","85"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 124","156"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 131","63"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 135","92"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 139","63"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 150","132"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 153","17"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 202","22"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 205","92"
"6","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 233","74"
"6","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"6","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"6","Rental Expense","Cash Payment - Rental - New York","4020"
"6","Rental Expense","Cash Payment - Rental - Miami","1800"
"6","Rental Expense","Cash Payment - Rental - Detroit","1000"
"6","Rental Expense","Cash Payment - Rental - Chicago","1480"
"5","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"5","Human Resource Expense","Attended Training","15000"
"5","Salary Expense","Cash Payment - Salary Expense","20300"
"5","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"5","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"5","Rental Expense","Cash Payment - Rental - New York","4020"
"5","Rental Expense","Cash Payment - Rental - Miami","1800"
"5","Rental Expense","Cash Payment - Rental - Detroit","1000"
"5","Rental Expense","Cash Payment - Rental - Chicago","1480"
"4","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"4","Human Resource Expense","Counselled","2000"
"4","Salary Expense","Cash Payment - Salary Expense","19950"
"4","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"4","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
